"City","Occupation","Hourly Wage","Annual Wage"
"Albuquerque","Accountants and Auditors","33.46","69,590"
"Albuquerque","Acupuncturists and Healthcare Diagnosing or Treating Practitioners","30.06","62,510"
"Albuquerque","Administrative Services and Facilities Managers","50.97","106,020"
"Albuquerque","Advertising Sales Agents","24.28","50,500"
"Albuquerque","Aerospace Engineering and Operations Technologists and Technicians","33.29","69,240"
"Albuquerque","Aerospace Engineers","57.70","120,010"
"Albuquerque","Aircraft Mechanics and Service Technicians","31.01","64,490"
"Albuquerque","Aircraft Service Attendants and Transportation Workers","16.12","33,540"
"Albuquerque","All Occupations","24.80","51,590"
"Albuquerque","Amusement and Recreation Attendants","11.82","24,580"
"Albuquerque","Anesthesiologists","134.25","279,240"
"Albuquerque","Animal Caretakers","13.36","27,790"
"Albuquerque","Animal Control Workers","15.75","32,760"
"Albuquerque","Animal Trainers","14.60","30,360"
"Albuquerque","Anthropologists and Archeologists","27.32","56,830"
"Albuquerque","Architects, Except Landscape and Naval","37.42","77,820"
"Albuquerque","Architectural and Civil Drafters","27.19","56,550"
"Albuquerque","Architectural and Engineering Managers","86.81","180,560"
"Albuquerque","Architecture and Engineering Occupations","50.01","104,020"
"Albuquerque","Arts, Design, Entertainment, Sports, and Media Occupations","25.10","52,200"
"Albuquerque","Atmospheric and Space Scientists","47.84","99,500"
"Albuquerque","Audio and Video Technicians","19.33","40,200"
"Albuquerque","Audiologists","34.11","70,950"
"Albuquerque","Audiovisual Equipment Installers and Repairers","21.79","45,320"
"Albuquerque","Automotive Body and Related Repairers","20.97","43,620"
"Albuquerque","Automotive Service Technicians and Mechanics","21.98","45,720"
"Albuquerque","Baggage Porters and Bellhops","13.03","27,110"
"Albuquerque","Bakers","13.97","29,060"
"Albuquerque","Bartenders","10.41","21,650"
"Albuquerque","Bill and Account Collectors","18.30","38,060"
"Albuquerque","Billing and Posting Clerks","18.60","38,690"
"Albuquerque","Biological Scientists","37.11","77,180"
"Albuquerque","Biological Technicians","20.64","42,940"
"Albuquerque","Bookkeeping, Accounting, and Auditing Clerks","20.06","41,730"
"Albuquerque","Brickmasons and Blockmasons","20.53","42,690"
"Albuquerque","Broadcast Announcers and Radio Disc Jockeys","16.42","34,160"
"Albuquerque","Broadcast Technicians","19.72","41,030"
"Albuquerque","Budget Analysts","39.55","82,260"
"Albuquerque","Building and Grounds Cleaning and Maintenance Occupations","13.38","27,830"
"Albuquerque","Bus and Truck Mechanics and Diesel Engine Specialists","23.49","48,850"
"Albuquerque","Bus Drivers, Transit and Intercity","15.41","32,040"
"Albuquerque","Business and Financial Operations Occupations","35.42","73,680"
"Albuquerque","Business Teachers, Postsecondary",NA,NA
"Albuquerque","Butchers and Meat Cutters","16.23","33,750"
"Albuquerque","Buyers and Purchasing Agents","34.82","72,430"
"Albuquerque","Cabinetmakers and Bench Carpenters","17.99","37,430"
"Albuquerque","Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters","35.56","73,970"
"Albuquerque","Camera Operators, Television, Video, and Film","24.00","49,920"
"Albuquerque","Cardiovascular Technologists and Technicians","24.61","51,190"
"Albuquerque","Career/Technical Education Teachers, Postsecondary","29.46","61,280"
"Albuquerque","Career/Technical Education Teachers, Secondary School",NA,"51,070"
"Albuquerque","Cargo and Freight Agents","25.84","53,750"
"Albuquerque","Carpenters","20.67","42,980"
"Albuquerque","Cashiers","11.88","24,710"
"Albuquerque","Cement Masons and Concrete Finishers","18.77","39,040"
"Albuquerque","Chefs and Head Cooks","27.77","57,760"
"Albuquerque","Chemical Engineers","60.34","125,510"
"Albuquerque","Chemical Equipment Operators and Tenders","22.56","46,930"
"Albuquerque","Chemists","41.03","85,350"
"Albuquerque","Child, Family, and School Social Workers","22.31","46,410"
"Albuquerque","Childcare Workers","11.45","23,830"
"Albuquerque","Civil Engineering Technologists and Technicians","23.91","49,730"
"Albuquerque","Civil Engineers","46.15","95,990"
"Albuquerque","Claims Adjusters, Examiners, and Investigators","30.48","63,400"
"Albuquerque","Cleaners of Vehicles and Equipment","13.46","28,000"
"Albuquerque","Clergy","28.31","58,890"
"Albuquerque","Clinical Laboratory Technologists and Technicians","23.67","49,220"
"Albuquerque","Clinical, Counseling, and School Psychologists","33.04","68,720"
"Albuquerque","Coaches and Scouts",NA,"46,710"
"Albuquerque","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","25.07","52,150"
"Albuquerque","Coin, Vending, and Amusement Machine Servicers and Repairers","17.25","35,890"
"Albuquerque","Commercial and Industrial Designers","34.40","71,550"
"Albuquerque","Commercial Pilots",NA,"103,920"
"Albuquerque","Community and Social Service Occupations","24.40","50,760"
"Albuquerque","Community and Social Service Specialists","19.15","39,830"
"Albuquerque","Community Health Workers","29.93","62,250"
"Albuquerque","Compensation, Benefits, and Job Analysis Specialists","27.34","56,870"
"Albuquerque","Compliance Officers","31.80","66,140"
"Albuquerque","Computer and Information Research Scientists","60.61","126,080"
"Albuquerque","Computer and Information Systems Managers","56.55","117,620"
"Albuquerque","Computer and Mathematical Occupations","39.13","81,400"
"Albuquerque","Computer Network Architects","48.45","100,780"
"Albuquerque","Computer Network Support Specialists","27.34","56,870"
"Albuquerque","Computer Numerically Controlled Tool Operators","17.82","37,060"
"Albuquerque","Computer Occupations","39.89","82,980"
"Albuquerque","Computer Programmers","38.33","79,730"
"Albuquerque","Computer Systems Analysts","39.87","82,940"
"Albuquerque","Computer User Support Specialists","21.74","45,230"
"Albuquerque","Computer, Automated Teller, and Office Machine Repairers","23.41","48,680"
"Albuquerque","Conservation Scientists","47.36","98,520"
"Albuquerque","Construction and Building Inspectors","29.55","61,460"
"Albuquerque","Construction and Extraction Occupations","22.02","45,810"
"Albuquerque","Construction Laborers","16.94","35,230"
"Albuquerque","Construction Managers","44.30","92,140"
"Albuquerque","Control and Valve Installers and Repairers, Except Mechanical Door","26.29","54,690"
"Albuquerque","Cooks","25.86","53,780"
"Albuquerque","Cooks, Fast Food","10.85","22,560"
