"city","AnnualSalary","AnnualExpenses"
"Albuquerque",51590,16450.2
"Arlington",56190,31128.24
"Atlanta",56790,24371.16
"Austin",57830,29213.16
"Baltimore",62510,23290.8
"Boston",73850,38088
"Charlotte",55330,24675.12
"Chicago",60340,27601.2
"Colorado Springs",55540,21910.68
"Columbus",54160,20487.36
"Dallas",56190,23780.16
"Denver",64880,26882.28
"Detroit",57740,22790.52
"El Paso",41750,13523.76
"Fort Worth",56190,21957.96
"Fresno",52160,18951.96
"Houston",55950,22464.36
"Indianapolis",53060,20358.72
"Jacksonville",41800,19699.68
"Kansas City",54530,20661.72
"Las Vegas",49960,20533.8
"Long Beach",63660,27968.76
"Los Angeles",63660,32974.8
"Louisville",49200,18050.88
"Memphis",46980,19056
"Mesa",54870,19707.48
"Miami",52970,29554.32
"Milwaukee",55040,20466.6
"Minneapolis",62560,23853.96
"Nashville",52170,25945.08
"New Orleans",50020,23972.76
"New York",71050,43322.64
"Oakland",81840,39886.56
"Oklahoma City",50010,19095.48
"Omaha",53050,17282.28
"Philadelphia",60400,25943.4
"Phoenix",54870,22738.8
"Portland",55790,26495.16
"Raleigh",56720,21918.48
"Sacramento",62820,24456.96
"San Antonio",49520,21700.8
"San Diego",64300,30975.36
"San Francisco",81840,41415.96
"San Jose",93450,36064.08
"Seattle",74330,31201.56
"Tampa",51770,24390.96
"Tucson",51380,15596.16
"Tulsa",49800,18593.16
"Virginia Beach",52170,20645.4
"Washington",77210,32982.36
